PassengerId,Survived,Pclass,Sex,Age,Ticket,Fare,Cabin,Embarked,FamilySize,Title,IsAlone
1,0,3,0,22.0,A/5 21171,7.25,Unknown,S,1,0,1
2,1,1,1,38.0,PC 17599,71.2833,C85,C,1,2,1
3,1,3,1,26.0,STON/O2. 3101282,7.925,Unknown,S,0,1,0
4,1,1,1,35.0,113803,53.1,C123,S,1,2,1
5,0,3,0,35.0,373450,8.05,Unknown,S,0,0,0
7,0,1,0,54.0,17463,51.8625,E46,S,0,0,0
8,0,3,0,2.0,349909,21.075,Unknown,S,4,3,0
9,1,3,1,27.0,347742,11.1333,Unknown,S,2,2,0
10,1,2,1,14.0,237736,30.0708,Unknown,C,1,2,1
11,1,3,1,4.0,PP 9549,16.7,G6,S,2,1,0
12,1,1,1,58.0,113783,26.55,C103,S,0,1,0
13,0,3,0,20.0,A/5. 2151,8.05,Unknown,S,0,0,0
14,0,3,0,39.0,347082,31.275,Unknown,S,6,0,0
15,0,3,1,14.0,350406,7.8542,Unknown,S,0,1,0
16,1,2,1,55.0,248706,16.0,Unknown,S,0,2,0
17,0,3,0,2.0,382652,29.125,Unknown,Q,5,3,0
19,0,3,1,31.0,345763,18.0,Unknown,S,1,2,1
21,0,2,0,35.0,239865,26.0,Unknown,S,0,0,0
22,1,2,0,34.0,248698,13.0,D56,S,0,0,0
23,1,3,1,15.0,330923,8.0292,Unknown,Q,0,1,0
24,1,1,0,28.0,113788,35.5,A6,S,0,0,0
25,0,3,1,8.0,349909,21.075,Unknown,S,4,1,0
26,1,3,1,38.0,347077,31.3875,Unknown,S,6,2,0
28,0,1,0,19.0,19950,263.0,C23 C25 C27,S,5,0,0
31,0,1,0,40.0,PC 17601,27.7208,Unknown,C,0,4,0
34,0,2,0,66.0,C.A. 24579,10.5,Unknown,S,0,0,0
35,0,1,0,28.0,PC 17604,82.1708,Unknown,C,1,0,1
36,0,1,0,42.0,113789,52.0,Unknown,S,1,0,1
38,0,3,0,21.0,A./5. 2152,8.05,Unknown,S,0,0,0
39,0,3,1,18.0,345764,18.0,Unknown,S,2,1,0
40,1,3,1,14.0,2651,11.2417,Unknown,C,1,1,1
41,0,3,1,40.0,7546,9.475,Unknown,S,1,2,1
42,0,2,1,27.0,11668,21.0,Unknown,S,1,2,1
44,1,2,1,3.0,SC/Paris 2123,41.5792,Unknown,C,3,1,0
45,1,3,1,19.0,330958,7.8792,Unknown,Q,0,1,0
50,0,3,1,18.0,349237,17.8,Unknown,S,1,2,1
51,0,3,0,7.0,3101295,39.6875,Unknown,S,5,3,0
52,0,3,0,21.0,A/4. 39886,7.8,Unknown,S,0,0,0
53,1,1,1,49.0,PC 17572,76.7292,D33,C,1,2,1
54,1,2,1,29.0,2926,26.0,Unknown,S,1,2,1
55,0,1,0,65.0,113509,61.9792,B30,C,1,0,1
